ID,Airport,City,Country
1,Goroka Airport,Goroka,Papua New Guinea
2,Madang Airport,Madang,Papua New Guinea
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea
4,Nadzab Airport,Nadzab,Papua New Guinea
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea
6,Wewak International Airport,Wewak,Papua New Guinea
7,Narsarsuaq Airport,Narssarssuaq,Greenland
8,Godthaab / Nuuk Airport,Godthaab,Greenland
9,Kangerlussuaq Airport,Sondrestrom,Greenland
10,Thule Air Base,Thule,Greenland
11,Akureyri Airport,Akureyri,Iceland
12,Egilsstaðir Airport,Egilsstadir,Iceland
13,Hornafjörður Airport,Hofn,Iceland
14,Húsavík Airport,Husavik,Iceland
15,Ísafjörður Airport,Isafjordur,Iceland
16,Keflavik International Airport,Keflavik,Iceland
17,Patreksfjörður Airport,Patreksfjordur,Iceland
18,Reykjavik Airport,Reykjavik,Iceland
19,Siglufjörður Airport,Siglufjordur,Iceland
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada
23,Halifax / CFB Shearwater Heliport,Halifax,Canada
24,St. Anthony Airport,St. Anthony,Canada
25,Tofino / Long Beach Airport,Tofino,Canada
26,Kugaaruk Airport,Pelly Bay,Canada
27,Baie Comeau Airport,Baie Comeau,Canada
28,CFB Bagotville,Bagotville,Canada
29,Baker Lake Airport,Baker Lake,Canada
30,Campbell River Airport,Campbell River,Canada
31,Brandon Municipal Airport,Brandon,Canada
32,Cambridge Bay Airport,Cambridge Bay,Canada
33,Nanaimo Airport,Nanaimo,Canada
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada
35,Miramichi Airport,Chatham,Canada
36,Charlo Airport,Charlo,Canada
37,Kugluktuk Airport,Coppermine,Canada
38,Coronation Airport,Coronation,Canada
39,Chilliwack Airport,Chilliwack,Canada
40,Clyde River Airport,Clyde River,Canada
41,Coral Harbour Airport,Coral Harbour,Canada
42,Dawson City Airport,Dawson,Canada
43,Burwash Airport,Burwash,Canada
44,Princeton Airport,Princeton,Canada
45,Deer Lake Airport,Deer Lake,Canada
46,Dease Lake Airport,Dease Lake,Canada
47,Dauphin Barker Airport,Dauphin,Canada
48,Dawson Creek Airport,Dawson Creek,Canada
49,Edmonton International Airport,Edmonton,Canada
50,Arviat Airport,Eskimo Point,Canada
51,Estevan Airport,Estevan,Canada
52,Edson Airport,Edson,Canada
53,Eureka Airport,Eureka,Canada
54,Inuvik Mike Zubko Airport,Inuvik,Canada
55,Iqaluit Airport,Iqaluit,Canada
56,Fredericton Airport,Fredericton,Canada
57,Forestville Airport,Forestville,Canada
58,Flin Flon Airport,Flin Flon,Canada
59,Fort Resolution Airport,Fort Resolution,Canada
60,Fort Simpson Airport,Fort Simpson,Canada
61,Kingston Norman Rogers Airport,Kingston,Canada
62,La Grande Rivière Airport,La Grande Riviere,Canada
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada
64,Geraldton Greenstone Regional Airport,Geraldton,Canada
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada
66,Hudson Bay Airport,Hudson Bay,Canada
67,Dryden Regional Airport,Dryden,Canada
68,Ulukhaktok Holman Airport,Holman Island,Canada
69,Gjoa Haven Airport,Gjoa Haven,Canada
70,John C. Munro Hamilton International Airport,Hamilton,Canada
71,Montréal / Saint-Hubert Airport,Montreal,Canada
72,Hay River / Merlyn Carter Airport,Hay River,Canada
73,Halifax / Stanfield International Airport,Halifax,Canada
74,Atikokan Municipal Airport,Atikokan,Canada
75,Pond Inlet Airport,Pond Inlet,Canada
76,St Jean Airport,St. Jean,Canada
77,Stephenville Airport,Stephenville,Canada
78,Kamloops Airport,Kamloops,Canada
79,Waterloo Airport,Waterloo,Canada
